letter	%	*2	rounded
a	12,217	24,434	25
b	0,281	0,562	1
c	0,281	0,562	1
d	1,043	2,086	3
e	7,968	15,936	16
f	0,194	0,388	1
g	0,392	0,784	1
h	1,851	3,702	4
i	10,817	21,634	22
j	2,042	4,084	5
k	4,973	9,946	10
l	5,761	11,522	12
m	3,202	6,404	7
n	8,826	17,652	18
o	5,614	11,228	12
p	1,842	3,684	4
q	0,013	0,026	1
r	2,872	5,744	6
s	7,862	15,724	16
t	8,75	17,5	18
u	5,008	10,016	11
v	2,25	4,5	    5
w	0,094	0,188	1
x	0,031	0,062	1
y	1,745	3,49	4
z	0,051	0,102	1
å	0,003	0,006	1
ä	3,577	7,154	8
ö	0,444	0,888	1

Vowels
a	12,217	24,434	25
e	7,968	15,936	16
i	10,817	21,634	22
o	5,614	11,228	12
u	5,008	10,016	11
y	1,745	3,49	4
ä	3,577	7,154	8
ö	0,444	0,888	1
TOTAL               99

Consonants
b	0,281	0,562	1
c	0,281	0,562	1
d	1,043	2,086	3
f	0,194	0,388	1
g	0,392	0,784	1
h	1,851	3,702	4
j	2,042	4,084	5
k	4,973	9,946	10
l	5,761	11,522	12
m	3,202	6,404	7
n	8,826	17,652	18
p	1,842	3,684	4
q	0,013	0,026	1
r	2,872	5,744	6
s	7,862	15,724	16
t	8,75	17,5	18
v	2,25	4,5	    5
w	0,094	0,188	1
x	0,031	0,062	1
z	0,051	0,102	1
å	0,003	0,006	1
TOTAL               117
